Source", "Destination", "Class", "Metric", "Fixed Metric Component", "Distance Metric Component"
asr1k.geg,asr1k.mex,VPLS,454.0,100,354
asr1k.geg,asr1k.mex,DMVPN,654.0,300,354
asr1k.geg,asr1k.dfw,VPLS,337.0,100,237
asr1k.geg,asr1k.dfw,DMVPN,537.0,300,237
asr1k.geg,asr1k.gru,DMVPN,6860.0,5800,1060
asr1k.geg,asr1k.corp,DMVPN,5894.0,5800,94
asr1k.geg,asr1k.atl,VPLS,415.0,100,315
asr1k.geg,asr1k.atl,DMVPN,615.0,300,315
asr1k.geg,asr1k.lon,DMVPN,1048.0,300,748
asr1k.geg,asr1k.chi,VPLS,343.0,100,243
asr1k.geg,asr1k.chi,DMVPN,543.0,300,243
asr1k.geg,asr1k.ops,DMVPN,5894.0,5800,94
asr1k.geg,asr1k.lax,VPLS,252.0,100,152
asr1k.geg,asr1k.lax,DMVPN,452.0,300,152
asr1k.geg,asr1k.nyc,VPLS,451.0,100,351
asr1k.geg,asr1k.nyc,DMVPN,651.0,300,351
asr1k.geg,asr1k.slc,DMVPN,5887.0,5800,87
asr1k.geg,asr1k.pvu,VPLS,5694.0,5600,94
asr1k.geg,asr1k.pvu,DMVPN,5894.0,5800,94
asr1k.geg,asr1k.ord,VPLS,340.0,100,240
asr1k.geg,asr1k.ord,DMVPN,540.0,300,240
asr1k.mex,asr1k.dfw,VPLS,251.0,100,151
asr1k.mex,asr1k.dfw,DMVPN,451.0,300,151
asr1k.mex,asr1k.gru,DMVPN,6544.0,5800,744
asr1k.mex,asr1k.corp,DMVPN,6061.0,5800,261
asr1k.mex,asr1k.atl,VPLS,314.0,100,214
asr1k.mex,asr1k.atl,DMVPN,514.0,300,214
asr1k.mex,asr1k.lon,DMVPN,1192.0,300,892
asr1k.mex,asr1k.chi,VPLS,372.0,100,272
asr1k.mex,asr1k.chi,DMVPN,572.0,300,272
asr1k.mex,asr1k.ops,DMVPN,6061.0,5800,261
asr1k.mex,asr1k.lax,VPLS,349.0,100,249
asr1k.mex,asr1k.lax,DMVPN,549.0,300,249
asr1k.mex,asr1k.nyc,VPLS,436.0,100,336
asr1k.mex,asr1k.nyc,DMVPN,636.0,300,336
asr1k.mex,asr1k.slc,DMVPN,6067.0,5800,267
asr1k.mex,asr1k.pvu,VPLS,5861.0,5600,261
asr1k.mex,asr1k.pvu,DMVPN,6061.0,5800,261
asr1k.mex,asr1k.ord,VPLS,372.0,100,272
asr1k.mex,asr1k.ord,DMVPN,572.0,300,272
asr1k.dfw,asr1k.gru,DMVPN,6624.0,5800,824
asr1k.dfw,asr1k.corp,DMVPN,5934.0,5800,134
asr1k.dfw,asr1k.atl,VPLS,217.0,100,117
asr1k.dfw,asr1k.atl,DMVPN,417.0,300,117
asr1k.dfw,asr1k.lon,DMVPN,1064.0,300,764
asr1k.dfw,asr1k.chi,VPLS,230.0,100,130
asr1k.dfw,asr1k.chi,DMVPN,430.0,300,130
asr1k.dfw,asr1k.ops,DMVPN,5934.0,5800,134
asr1k.dfw,asr1k.lax,VPLS,298.0,100,198
asr1k.dfw,asr1k.lax,DMVPN,498.0,300,198
asr1k.dfw,asr1k.nyc,VPLS,322.0,100,222
asr1k.dfw,asr1k.nyc,DMVPN,522.0,300,222
asr1k.dfw,asr1k.slc,DMVPN,5959.0,5800,159
asr1k.dfw,asr1k.pvu,VPLS,5734.0,5600,134
asr1k.dfw,asr1k.pvu,DMVPN,5934.0,5800,134
asr1k.dfw,asr1k.ord,VPLS,229.0,100,129
asr1k.dfw,asr1k.ord,DMVPN,429.0,300,129
asr1k.gru,asr1k.corp,DMVPN,6777.0,5800,977
asr1k.gru,asr1k.atl,DMVPN,6550.0,5800,750
asr1k.gru,asr1k.lon,DMVPN,6748.0,5800,948
asr1k.gru,asr1k.chi,DMVPN,6640.0,5800,840
asr1k.gru,asr1k.ops,DMVPN,6777.0,5800,977
asr1k.gru,asr1k.lax,DMVPN,6791.0,5800,991
asr1k.gru,asr1k.nyc,DMVPN,6568.0,5800,768
asr1k.gru,asr1k.slc,DMVPN,6782.0,5800,982
asr1k.gru,asr1k.pvu,DMVPN,6777.0,5800,977
asr1k.gru,asr1k.ord,DMVPN,6642.0,5800,842
asr1k.corp,asr1k.atl,DMVPN,6053.0,5800,253
asr1k.corp,asr1k.lon,DMVPN,6585.0,5800,785
asr1k.corp,asr1k.chi,DMVPN,6003.0,5800,203
asr1k.corp,asr1k.ops,DMVPN,5801.0,5800,1
asr1k.corp,asr1k.lax,DMVPN,5891.0,5800,91
asr1k.corp,asr1k.nyc,DMVPN,6117.0,5800,317
asr1k.corp,asr1k.slc,DMVPN,5806.0,5800,6
asr1k.corp,asr1k.pvu,DMVPN,5801.0,5800,1
asr1k.corp,asr1k.ord,DMVPN,6000.0,5800,200
asr1k.atl,asr1k.lon,DMVPN,978.0,300,678
asr1k.atl,asr1k.chi,VPLS,195.0,100,95
asr1k.atl,asr1k.chi,DMVPN,395.0,300,95
asr1k.atl,asr1k.ops,DMVPN,6053.0,5800,253
asr1k.atl,asr1k.lax,VPLS,412.0,100,312
asr1k.atl,asr1k.lax,DMVPN,612.0,300,312
asr1k.atl,asr1k.nyc,VPLS,222.0,100,122
asr1k.atl,asr1k.nyc,DMVPN,422.0,300,122
asr1k.atl,asr1k.slc,DMVPN,6056.0,5800,256
asr1k.atl,asr1k.pvu,VPLS,5853.0,5600,253
asr1k.atl,asr1k.pvu,DMVPN,6053.0,5800,253
asr1k.atl,asr1k.ord,VPLS,197.0,100,97
asr1k.atl,asr1k.ord,DMVPN,397.0,300,97
asr1k.lon,asr1k.chi,DMVPN,934.0,300,634
asr1k.lon,asr1k.ops,DMVPN,6585.0,5800,785
asr1k.lon,asr1k.lax,DMVPN,1177.0,300,877
asr1k.lon,asr1k.nyc,DMVPN,855.0,300,555
asr1k.lon,asr1k.slc,DMVPN,6582.0,5800,782
asr1k.lon,asr1k.pvu,DMVPN,6585.0,5800,785
asr1k.lon,asr1k.ord,DMVPN,936.0,300,636
asr1k.chi,asr1k.ops,DMVPN,6003.0,5800,203
asr1k.chi,asr1k.lax,VPLS,382.0,100,282
asr1k.chi,asr1k.lax,DMVPN,582.0,300,282
asr1k.chi,asr1k.nyc,VPLS,215.0,100,115
asr1k.chi,asr1k.nyc,DMVPN,415.0,300,115
asr1k.chi,asr1k.slc,DMVPN,6003.0,5800,203
asr1k.chi,asr1k.pvu,VPLS,5803.0,5600,203
asr1k.chi,asr1k.pvu,DMVPN,6003.0,5800,203
asr1k.chi,asr1k.ord,VPLS,102.0,100,2
asr1k.chi,asr1k.ord,DMVPN,302.0,300,2
asr1k.ops,asr1k.lax,DMVPN,5891.0,5800,91
asr1k.ops,asr1k.nyc,DMVPN,6117.0,5800,317
asr1k.ops,asr1k.slc,DMVPN,5806.0,5800,6
asr1k.ops,asr1k.pvu,DMVPN,5801.0,5800,1
asr1k.ops,asr1k.ord,DMVPN,6000.0,5800,200
asr1k.lax,asr1k.nyc,VPLS,496.0,100,396
asr1k.lax,asr1k.nyc,DMVPN,696.0,300,396
asr1k.lax,asr1k.slc,DMVPN,5894.0,5800,94
asr1k.lax,asr1k.pvu,VPLS,5691.0,5600,91
asr1k.lax,asr1k.pvu,DMVPN,5891.0,5800,91
asr1k.lax,asr1k.ord,VPLS,380.0,100,280
asr1k.lax,asr1k.ord,DMVPN,580.0,300,280
asr1k.nyc,asr1k.slc,DMVPN,6117.0,5800,317
asr1k.nyc,asr1k.pvu,VPLS,5917.0,5600,317
asr1k.nyc,asr1k.pvu,DMVPN,6117.0,5800,317
asr1k.nyc,asr1k.ord,VPLS,217.0,100,117
asr1k.nyc,asr1k.ord,DMVPN,417.0,300,117
asr1k.slc,asr1k.pvu,DMVPN,5806.0,5800,6
asr1k.slc,asr1k.ord,DMVPN,6001.0,5800,201
asr1k.pvu,asr1k.ord,VPLS,5800.0,5600,200
asr1k.pvu,asr1k.ord,DMVPN,6000.0,5800,200
